RSSI,actual_cp,RF_cp,SVM_cp,3NN_cp,5NN_cp,7NN_cp,10NN_cp,15NN_cp
"[-74, -70, -76, -54, -64, -58]",A,E,E,E,E,E,E,E
"[-65, -50, -70, -61, -72, -65]",E,E,E,E,E,E,E,E
"[-55, -67, -60, -78, -83, -68]",C,C,C,C,C,C,C,C
"[-64, -85, -63, -56, -69, -60]",E,E,E,E,E,E,E,E
"[-75, -71, -77, -54, -63, -58]",A,E,E,E,E,E,E,E
"[-55, -66, -60, -78, -83, -68]",C,C,C,C,C,C,C,C
"[-75, -72, -67, -47, -68, -45]",E,E,E,E,E,E,E,E
"[-73, -65, -72, -55, -70, -75]",E,E,E,E,E,E,E,E
"[-64, -72, -64, -55, -71, -59]",E,E,E,E,E,E,E,E
"[-68, -52, -75, -62, -75, -57]",E,A,E,E,E,E,E,E
"[-78, -31, -71, -55, -66, -59]",E,E,E,E,E,E,E,E
"[-74, -48, -83, -54, -70, -56]",E,E,E,E,E,E,E,E
"[-74, -63, -79, -61, -52, -58]",B,A,A,A,A,A,A,A
"[-89, -79, -85, -61, -63, -60]",A,B,B,B,B,B,B,B
"[-55, -67, -60, -78, -82, -68]",C,C,C,C,C,C,C,C
"[-80, -74, -67, -54, -72, -23]",B,E,E,E,E,E,E,E
"[-60, -53, -71, -60, -77, -66]",C,E,C,C,C,C,C,C
"[-76, -58, -69, -58, -72, -58]",E,E,E,E,E,E,E,E
"[-70, -68, -83, -59, -50, -58]",A,A,A,A,A,A,A,A
"[-81, -53, -66, -52, -61, -61]",E,E,E,E,E,E,E,E
"[-66, -52, -73, -67, -62, -59]",E,D,E,E,E,E,E,E
"[-61, -47, -66, -66, -89, -66]",E,C,C,C,C,C,C,C
"[-61, -67, -66, -67, -72, -66]",D,D,C,C,C,C,C,C
"[-79, -68, -73, -61, -65, -50]",E,E,E,E,E,E,E,E
"[-76, -60, -70, -56, -71, -58]",E,E,E,E,E,E,E,E
"[-74, -65, -67, -60, -76, -49]",B,E,E,E,E,E,E,E
"[-55, -65, -60, -78, -84, -68]",C,C,C,C,C,C,C,C
"[-76, -49, -81, -53, -68, -55]",E,E,E,E,E,E,E,E
"[-62, -46, -65, -64, -80, -65]",E,D,C,C,C,C,C,C
"[-77, -70, -74, -51, -74, -64]",E,E,E,E,E,E,E,E
"[-79, -67, -77, -48, -58, -66]",A,A,E,E,E,E,E,E
"[-69, -63, -84, -54, -52, -68]",A,A,A,A,A,A,A,A
"[-60, -52, -72, -59, -77, -66]",C,E,C,C,C,C,C,C
"[-77, -79, -74, -48, -63, -52]",E,E,E,E,E,E,E,E
"[-69, -57, -70, -65, -81, -55]",E,C,E,C,C,C,C,E
"[-75, -72, -73, -51, -77, -65]",E,E,E,E,E,E,E,E
"[-64, -80, -63, -56, -69, -59]",E,E,E,E,E,E,E,E
"[-73, -63, -80, -61, -52, -58]",B,A,A,A,A,A,A,A
"[-75, -72, -66, -47, -68, -45]",E,E,E,E,E,E,E,E
"[-76, -67, -74, -51, -73, -65]",E,E,E,E,E,E,E,E
"[-76, -72, -86, -61, -67, -54]",E,E,A,A,A,A,A,A
"[-54, -66, -60, -78, -83, -67]",C,C,C,C,C,C,C,C
"[-67, -52, -73, -67, -63, -60]",E,D,E,E,E,E,E,E
"[-87, -68, -82, -62, -60, -59]",B,A,A,E,E,A,A,A
"[-89, -80, -82, -64, -66, -59]",A,B,B,B,B,B,B,B
"[-67, -51, -74, -62, -80, -58]",E,E,E,E,E,E,E,E
"[-68, -57, -71, -58, -74, -54]",E,E,E,E,E,E,E,E
"[-75, -72, -73, -51, -77, -65]",E,E,E,E,E,E,E,E
"[-64, -67, -64, -54, -73, -60]",E,E,E,E,E,E,E,E
"[-75, -72, -86, -61, -67, -54]",E,E,A,A,A,A,A,A
"[-74, -48, -83, -54, -70, -56]",E,E,E,E,E,E,E,E
"[-74, -65, -62, -66, -75, -60]",D,C,E,E,E,E,E,E
"[-64, -85, -63, -56, -69, -60]",E,E,E,E,E,E,E,E
"[-67, -52, -73, -68, -62, -60]",E,D,E,E,E,E,E,E
"[-77, -31, -70, -55, -65, -58]",E,E,E,E,E,E,E,E
